em_no,fl_no,date,cls
B0021,FB8559,1,C
B0049,FB8559,1,F
B0021,FB1000,1,C
B0049,FB1000,1,F
B0021,FB993,1,C
B0049,FB993,1,F
B0021,FB1000,2,C
B0049,FB1000,2,F
B0021,FB293,2,C
B0049,FB293,2,F
B0021,FB294,2,C
B0049,FB294,2,F
B0021,FB469,2,C
B0049,FB469,2,F
B0021,FB1000,3,C
B0049,FB1000,3,F
B0021,FB293,3,C
B0049,FB293,3,F
B0021,FB294,3,C
B0049,FB294,3,F
B0021,FB575,3,C
B0049,FB575,3,F
B0021,FB576,3,C
B0049,FB576,3,F
B0021,FB89,4,C
B0049,FB89,4,F
B0021,FB1748,4,C
B0049,FB1748,4,F
B0021,FB94,5,C
B0049,FB94,5,F
B0021,FB281,5,C
B0049,FB281,5,F
B0021,FB282,5,C
B0049,FB282,5,F
B0021,FB473,5,C
B0049,FB473,5,F
B0021,FB472,5,C
B0049,FB472,5,F
B0021,FB89,6,C
B0049,FB89,6,F
B0021,FB1748,6,C
B0049,FB1748,6,F
B0021,FB94,7,C
B0049,FB94,7,F
B0021,FB281,7,C
B0049,FB281,7,F
B0021,FB282,7,C
B0049,FB282,7,F
B0021,FB473,7,C
B0049,FB473,7,F
B0021,FB472,7,C
B0049,FB472,7,F
B0021,FB89,8,C
B0049,FB89,8,F
B0021,FB1748,8,C
B0049,FB1748,8,F
B0021,FB94,9,C
B0049,FB94,9,F
B0021,FB621,9,C
B0049,FB621,9,F
B0021,FB624,9,C
B0049,FB624,9,F
B0021,FB625,9,C
B0049,FB625,9,F
B0021,FB628,9,C
B0049,FB628,9,F
B0021,FB89,10,C
B0049,FB89,10,F
B0021,FB1748,10,C
B0049,FB1748,10,F
B0021,FB94,11,C
B0049,FB94,11,F
B0021,FB281,11,C
B0049,FB281,11,F
B0021,FB282,11,C
B0049,FB282,11,F
B0021,FB473,11,C
B0049,FB473,11,F
B0021,FB472,11,C
B0049,FB472,11,F
B0021,FB89,12,C
B0049,FB89,12,F
B0021,FB1748,12,C
B0049,FB1748,12,F
B0021,FB94,13,C
B0049,FB94,13,F
B0021,FB281,13,C
B0049,FB281,13,F
B0021,FB282,13,C
B0049,FB282,13,F
B0021,FB473,13,C
B0049,FB473,13,F
B0021,FB472,13,C
B0049,FB472,13,F
B0021,FB89,14,C
B0049,FB89,14,F
B0021,FB1748,14,C
B0049,FB1748,14,F
B0021,FB94,15,C
B0049,FB94,15,F
B0021,FB621,15,C
B0049,FB621,15,F
B0021,FB624,15,C
B0049,FB624,15,F
B0021,FB625,15,C
B0049,FB625,15,F
B0021,FB628,15,C
B0049,FB628,15,F
B0021,FB89,16,C
B0049,FB89,16,F
B0021,FB1748,16,C
B0049,FB1748,16,F
B0021,FB94,17,C
B0049,FB94,17,F
B0021,FB281,17,C
B0049,FB281,17,F
B0021,FB282,17,C
B0049,FB282,17,F
B0021,FB473,17,C
B0049,FB473,17,F
B0021,FB472,17,C
B0049,FB472,17,F
B0021,FB89,18,C
B0049,FB89,18,F
B0021,FB1748,18,C
B0049,FB1748,18,F
B0021,FB94,19,C
B0049,FB94,19,F
B0021,FB281,19,C
B0049,FB281,19,F
B0021,FB282,19,C
B0049,FB282,19,F
B0021,FB473,19,C
B0049,FB473,19,F
B0021,FB472,19,C
B0049,FB472,19,F
B0021,FB89,20,C
B0049,FB89,20,F
B0021,FB1748,20,C
B0049,FB1748,20,F
B0021,FB94,21,C
B0049,FB94,21,F
B0021,FB281,21,C
B0049,FB281,21,F
B0021,FB282,21,C
B0049,FB282,21,F
B0021,FB473,21,C
B0049,FB473,21,F
B0021,FB472,21,C
B0049,FB472,21,F
B0021,FB89,22,C
B0049,FB89,22,F
B0021,FB1748,22,C
B0049,FB1748,22,F
B0021,FB94,23,C
B0049,FB94,23,F
B0021,FB281,23,C
B0049,FB281,23,F
B0021,FB282,23,C
B0049,FB282,23,F
B0021,FB473,23,C
B0049,FB473,23,F
B0021,FB472,23,C
B0049,FB472,23,F
B0021,FB89,24,C
B0049,FB89,24,F
B0021,FB1748,24,C
B0049,FB1748,24,F
B0021,FB94,25,C
B0049,FB94,25,F
B0021,FB281,25,C
B0049,FB281,25,F
B0021,FB282,25,C
B0049,FB282,25,F
B0021,FB473,25,C
B0049,FB473,25,F
B0021,FB472,25,C
B0049,FB472,25,F
B0021,FB89,26,C
B0049,FB89,26,F
B0021,FB1748,26,C
B0049,FB1748,26,F
B0021,FB94,27,C
B0049,FB94,27,F
B0021,FB281,27,C
B0049,FB281,27,F
B0021,FB282,27,C
B0049,FB282,27,F
B0021,FB473,27,C
B0049,FB473,27,F
B0021,FB472,27,C
B0049,FB472,27,F
B0021,FB89,28,C
B0049,FB89,28,F
B0021,FB1748,28,C
B0049,FB1748,28,F
B0021,FB94,29,C
B0049,FB94,29,F
B0021,FB281,29,C
B0049,FB281,29,F
B0021,FB282,29,C
B0049,FB282,29,F
B0021,FB473,29,C
B0049,FB473,29,F
B0021,FB472,29,C
B0049,FB472,29,F
B0021,FB89,30,C
B0049,FB89,30,F
B0021,FB1748,30,C
B0049,FB1748,30,F
B0021,FB986,31,C
B0049,FB986,31,F
B0021,FB787,31,C
B0049,FB787,31,F
B0021,FB788,31,C
B0049,FB788,31,F
B0021,FB25,31,C
B0049,FB25,31,F
B0022,FB94,1,C
B0050,FB94,1,F
B0022,FB281,1,C
B0050,FB281,1,F
B0022,FB282,1,C
B0050,FB282,1,F
B0022,FB473,1,C
B0050,FB473,1,F
