em_no,fl_no,date,cls
B0177,FB89,1,C
B0177,FB1748,1,C
B0177,FB30,1,C
B0177,FB73,1,C
B0177,FB78,1,C
B0177,FB89,2,C
B0177,FB1748,2,C
B0177,FB30,2,C
B0177,FB73,2,C
B0177,FB78,2,C
B0177,FB999,2,C
B0177,FB1000,3,C
B0177,FB293,3,C
B0177,FB294,3,C
B0177,FB575,3,C
B0177,FB576,3,C
B0177,FB697,3,C
B0177,FB700,3,C
B0177,FB539,3,C
B0177,FB532,4,C
B0177,FB383,4,C
B0177,FB386,4,C
B0177,FB475,4,C
B0177,FB308,4,C
B0177,FB492,5,C
B0177,FB383,5,C
B0177,FB386,5,C
B0177,FB475,5,C
B0177,FB308,5,C
B0177,FB492,6,C
B0177,FB383,6,C
B0177,FB386,6,C
B0177,FB475,6,C
B0177,FB308,6,C
B0177,FB492,7,C
B0177,FB383,7,C
B0177,FB386,7,C
B0177,FB475,7,C
B0177,FB308,7,C
B0177,FB492,8,C
B0177,FB383,8,C
B0177,FB386,8,C
B0177,FB475,8,C
B0177,FB308,8,C
B0177,FB492,9,C
B0177,FB383,9,C
B0177,FB386,9,C
B0177,FB475,9,C
B0177,FB308,9,C
B0177,FB492,10,C
B0177,FB383,10,C
B0177,FB386,10,C
B0177,FB475,10,C
B0177,FB308,10,C
B0177,FB492,11,C
B0177,FB383,11,C
B0177,FB386,11,C
B0177,FB475,11,C
B0177,FB308,11,C
B0177,FB492,12,C
B0177,FB383,12,C
B0177,FB386,12,C
B0177,FB475,12,C
B0177,FB308,12,C
B0177,FB492,13,C
B0177,FB383,13,C
B0177,FB386,13,C
B0177,FB475,13,C
B0177,FB308,13,C
B0177,FB492,14,C
B0177,FB383,14,C
B0177,FB386,14,C
B0177,FB475,14,C
B0177,FB308,14,C
B0177,FB492,15,C
B0177,FB383,15,C
B0177,FB386,15,C
B0177,FB475,15,C
B0177,FB308,15,C
B0177,FB492,16,C
B0177,FB383,16,C
B0177,FB386,16,C
B0177,FB475,16,C
B0177,FB308,16,C
B0177,FB492,17,C
B0177,FB383,17,C
B0177,FB386,17,C
B0177,FB475,17,C
B0177,FB308,17,C
B0177,FB492,18,C
B0177,FB383,18,C
B0177,FB386,18,C
B0177,FB475,18,C
B0177,FB308,18,C
