em_no,leg_no,fl_no,dpt_date,dpt_time,dpt_ap,arr_date,arr_time,arr_ap,cls
A0001,1,FA884,8/11/2021,11:30,NKX,8/11/2021,13:50,XGS,D
A0001,2,FA885,8/11/2021,14:30,XGS,8/11/2021,16:50,NKX,C
A0001,3,FA812,8/12/2021,12:20,NKX,8/12/2021,14:05,PDK,C
A0001,4,FA813,8/12/2021,14:50,PDK,8/12/2021,16:40,NKX,C
A0001,5,FA872,8/13/2021,7:55,NKX,8/13/2021,9:00,PLM,C
A0001,6,FA873,8/13/2021,9:40,PLM,8/13/2021,10:50,NKX,C
A0001,7,FA680,8/14/2021,8:00,NKX,8/14/2021,9:30,PGX,C
A0001,8,FA681,8/14/2021,10:10,PGX,8/14/2021,11:40,NKX,C
A0001,9,FA854,8/14/2021,13:50,NKX,8/14/2021,15:30,CTH,C
A0001,10,FA855,8/14/2021,16:10,CTH,8/14/2021,17:55,NKX,C
A0001,11,FA680,8/15/2021,8:00,NKX,8/15/2021,9:30,PGX,C
A0001,12,FA681,8/15/2021,10:10,PGX,8/15/2021,11:40,NKX,C
A0001,13,FA812,8/15/2021,12:20,NKX,8/15/2021,14:05,PDK,C
A0001,14,FA813,8/15/2021,14:50,PDK,8/15/2021,16:40,NKX,C
A0001,15,FA680,8/16/2021,8:00,NKX,8/16/2021,9:30,PGX,C
A0001,16,FA681,8/16/2021,10:10,PGX,8/16/2021,11:40,NKX,C
A0001,17,FA812,8/16/2021,12:20,NKX,8/16/2021,14:05,PDK,C
A0001,18,FA813,8/16/2021,14:50,PDK,8/16/2021,16:40,NKX,C
A0001,19,FA680,8/17/2021,8:00,NKX,8/17/2021,9:30,PGX,C
A0001,20,FA681,8/17/2021,10:10,PGX,8/17/2021,11:40,NKX,C
A0001,21,FA854,8/17/2021,13:50,NKX,8/17/2021,15:30,CTH,C
A0001,22,FA855,8/17/2021,16:10,CTH,8/17/2021,17:55,NKX,C
A0001,23,FA890,8/18/2021,7:30,NKX,8/18/2021,9:50,XGS,C
A0001,24,FA891,8/18/2021,10:30,XGS,8/18/2021,12:50,NKX,C
A0001,25,FA854,8/18/2021,13:50,NKX,8/18/2021,15:30,CTH,C
A0001,26,FA855,8/18/2021,16:10,CTH,8/18/2021,17:55,NKX,C
A0001,27,FA888,8/18/2021,18:40,NKX,8/18/2021,21:00,XGS,C
