em_no,leg_no,fl_no,dpt_date,dpt_time,dpt_ap,arr_date,arr_time,arr_ap,cls
B0001,1,FB771,8/13/2019,8:40,HOM,8/13/2019,10:30,NOU,F
B0001,2,FB72,8/13/2019,17:00,NOU,8/13/2019,18:35,TGD,F
B0001,3,FB669,8/13/2019,19:25,TGD,8/13/2019,21:15,GKU,F
B0001,4,FB662,8/14/2019,8:15,GKU,8/14/2019,10:05,TGD,F
B0001,5,FB991,8/14/2019,13:05,TGD,8/14/2019,14:30,HOM,F
B0001,6,FB771,8/15/2019,8:40,HOM,8/15/2019,10:30,NOU,F
B0001,7,FB72,8/15/2019,17:00,NOU,8/15/2019,18:35,TGD,F
B0001,8,FB41,8/15/2019,19:20,TGD,8/15/2019,20:35,HOM,F
B0001,9,FB18,8/16/2019,9:00,HOM,8/16/2019,10:10,TGD,F
B0001,10,FB61,8/16/2019,11:00,TGD,8/16/2019,12:40,NOU,F
B0001,11,FB72,8/16/2019,17:00,NOU,8/16/2019,18:35,TGD,F
B0001,12,FB669,8/16/2019,19:25,TGD,8/16/2019,21:15,GKU,F
B0001,13,FB662,8/17/2019,8:15,GKU,8/17/2019,10:05,TGD,F
B0001,14,FB61,8/17/2019,11:00,TGD,8/17/2019,12:40,NOU,F
B0001,15,FB778,8/17/2019,16:50,NOU,8/17/2019,18:40,HOM,F
B0002,1,FB8559,8/1/2019,0:05,HOM,8/1/2019,2:05,SXA,F
B0002,2,FB1000,8/1/2019,3:35,SXA,8/1/2019,5:55,TGD,F
B0002,3,FB993,8/1/2019,6:40,TGD,8/1/2019,9:05,SXA,F
B0002,4,FB994,8/1/2019,9:50,SXA,8/1/2019,12:25,TGD,F
B0002,5,FB1101,8/1/2019,13:05,TGD,8/1/2019,14:20,OOJ,F
B0002,6,FB1102,8/1/2019,15:00,OOJ,8/1/2019,16:15,TGD,F
B0002,7,FB265,8/1/2019,17:00,TGD,8/1/2019,18:50,FBX,F
B0002,8,FB270,8/1/2019,19:40,FBX,8/1/2019,21:25,TGD,F
B0002,9,FB999,8/1/2019,22:55,TGD,8/2/2019,1:35,SXA,F
B0002,10,FB1000,8/2/2019,3:35,SXA,8/2/2019,5:55,TGD,F
B0002,11,FB293,8/2/2019,6:40,TGD,8/2/2019,7:55,OOJ,F
B0002,12,FB294,8/2/2019,8:45,OOJ,8/2/2019,10:00,TGD,F
B0002,13,FB469,8/2/2019,10:45,TGD,8/2/2019,13:20,SXA,F
B0002,14,FB766,8/2/2019,14:00,SXA,8/2/2019,16:00,HOM,F
B0003,1,FB1795,8/25/2019,9:15,HOM,8/25/2019,11:20,MMC,F
B0003,2,FB1796,8/25/2019,12:00,MMC,8/25/2019,14:25,HOM,F
B0003,3,FB771,8/26/2019,8:40,HOM,8/26/2019,10:30,NOU,F
B0003,4,FB72,8/26/2019,17:00,NOU,8/26/2019,18:35,TGD,F
B0003,5,FB669,8/26/2019,19:25,TGD,8/26/2019,21:15,GKU,F
B0003,6,FB662,8/27/2019,8:15,GKU,8/27/2019,10:05,TGD,F
B0003,7,FB21,8/27/2019,11:00,TGD,8/27/2019,12:05,HOM,F
B0003,8,FB26,8/27/2019,13:00,HOM,8/27/2019,14:15,TGD,F
B0003,9,FB319,8/27/2019,18:05,TGD,8/27/2019,19:05,OSY,F
B0003,10,FB322,8/27/2019,19:45,OSY,8/27/2019,20:50,TGD,F
B0003,11,FB467,8/28/2019,8:35,TGD,8/28/2019,11:10,SXA,F
B0003,12,FB1868,8/28/2019,15:15,SXA,8/28/2019,16:50,XMJ,F
B0003,13,FB526,8/28/2019,17:30,XMJ,8/28/2019,18:35,HOM,F
B0004,1,FB771,8/17/2019,8:40,HOM,8/17/2019,10:30,NOU,F
B0004,2,FB72,8/17/2019,17:00,NOU,8/17/2019,18:35,TGD,F
B0004,3,FB409,8/17/2019,20:20,TGD,8/17/2019,21:25,AXO,F
B0004,4,FB402,8/18/2019,7:30,AXO,8/18/2019,8:35,TGD,F
B0004,5,FB255,8/18/2019,13:35,TGD,8/18/2019,15:25,FBX,F
B0004,6,FB262,8/18/2019,16:50,FBX,8/18/2019,18:40,TGD,F
B0004,7,FB287,8/18/2019,19:20,TGD,8/18/2019,20:35,OXU,F
B0004,8,FB284,8/19/2019,15:20,OXU,8/19/2019,16:40,TGD,F
B0004,9,FB39,8/19/2019,19:00,TGD,8/19/2019,20:15,HOM,F
B0004,10,FB731,8/20/2019,8:05,HOM,8/20/2019,9:20,UDJ,F
B0004,11,FB734,8/20/2019,10:00,UDJ,8/20/2019,11:20,HOM,F
B0005,1,FB523,8/14/2019,9:15,HOM,8/14/2019,10:25,XMJ,F
B0005,2,FB1867,8/14/2019,11:05,XMJ,8/14/2019,12:40,SXA,F
B0005,3,FB1868,8/14/2019,15:15,SXA,8/14/2019,16:50,XMJ,F
B0005,4,FB526,8/14/2019,17:30,XMJ,8/14/2019,18:35,HOM,F
B0005,5,FB1747,8/15/2019,8:40,HOM,8/15/2019,11:05,HUK,F
B0005,6,FB90,8/15/2019,12:20,HUK,8/15/2019,15:15,TGD,F
B0005,7,FB669,8/15/2019,19:25,TGD,8/15/2019,21:15,GKU,F
B0005,8,FB662,8/16/2019,8:15,GKU,8/16/2019,10:05,TGD,F
B0005,9,FB565,8/16/2019,13:05,TGD,8/16/2019,14:30,XNZ,F
B0005,10,FB1606,8/17/2019,11:45,XNZ,8/17/2019,12:30,HOM,F
B0006,1,FB523,8/14/2019,9:15,HOM,8/14/2019,10:25,XMJ,C
B0006,2,FB1867,8/14/2019,11:05,XMJ,8/14/2019,12:40,SXA,C
B0006,3,FB1868,8/14/2019,15:15,SXA,8/14/2019,16:50,XMJ,C
B0006,4,FB526,8/14/2019,17:30,XMJ,8/14/2019,18:35,HOM,C
B0006,5,FB1747,8/15/2019,8:40,HOM,8/15/2019,11:05,HUK,C
B0006,6,FB90,8/15/2019,12:20,HUK,8/15/2019,15:15,TGD,C
B0006,7,FB669,8/15/2019,19:25,TGD,8/15/2019,21:15,GKU,C
B0006,8,FB662,8/16/2019,8:15,GKU,8/16/2019,10:05,TGD,C
B0006,9,FB565,8/16/2019,13:05,TGD,8/16/2019,14:30,XNZ,C
B0006,10,FB1606,8/17/2019,11:45,XNZ,8/17/2019,12:30,HOM,C
B0007,1,FB523,8/28/2019,9:15,HOM,8/28/2019,10:25,XMJ,F
B0007,2,FB1867,8/28/2019,11:05,XMJ,8/28/2019,12:40,SXA,F
B0007,3,FB1734,8/30/2019,10:40,SXA,8/30/2019,12:45,HOM,F
B0007,4,FB737,8/30/2019,17:00,HOM,8/30/2019,18:15,UDJ,F
B0007,5,FB740,8/30/2019,18:55,UDJ,8/30/2019,20:20,HOM,F
B0007,6,FB412,8/31/2019,7:05,HOM,8/31/2019,8:20,TGD,F
B0007,7,FB17,8/31/2019,9:00,TGD,8/31/2019,10:10,HOM,F
B0007,8,FB765,8/31/2019,11:00,HOM,8/31/2019,13:05,SXA,F
B0007,9,FB1868,8/31/2019,15:15,SXA,8/31/2019,16:50,XMJ,F
B0007,10,FB526,8/31/2019,17:30,XMJ,8/31/2019,18:35,HOM,F
B0008,1,FB523,8/28/2019,9:15,HOM,8/28/2019,10:25,XMJ,C
B0008,2,FB1867,8/28/2019,11:05,XMJ,8/28/2019,12:40,SXA,C
B0008,3,FB1734,8/30/2019,10:40,SXA,8/30/2019,12:45,HOM,C
B0008,4,FB737,8/30/2019,17:00,HOM,8/30/2019,18:15,UDJ,C
B0008,5,FB740,8/30/2019,18:55,UDJ,8/30/2019,20:20,HOM,C
B0008,6,FB412,8/31/2019,7:05,HOM,8/31/2019,8:20,TGD,C
B0008,7,FB17,8/31/2019,9:00,TGD,8/31/2019,10:10,HOM,C
B0008,8,FB765,8/31/2019,11:00,HOM,8/31/2019,13:05,SXA,C
B0008,9,FB1868,8/31/2019,15:15,SXA,8/31/2019,16:50,XMJ,C
B0008,10,FB526,8/31/2019,17:30,XMJ,8/31/2019,18:35,HOM,C
B0009,1,FB16,8/2/2019,8:00,HOM,8/2/2019,9:15,TGD,F
B0009,2,FB255,8/2/2019,13:35,TGD,8/2/2019,15:25,FBX,F
B0009,3,FB430,8/2/2019,19:15,FBX,8/2/2019,20:35,HOM,F
B0009,4,FB731,8/3/2019,8:05,HOM,8/3/2019,9:20,UDJ,F
B0009,5,FB734,8/3/2019,10:00,UDJ,8/3/2019,11:20,HOM,F
B0009,6,FB427,8/3/2019,17:20,HOM,8/3/2019,18:35,FBX,F
B0009,7,FB430,8/3/2019,19:15,FBX,8/3/2019,20:35,HOM,F
B0009,8,FB731,8/4/2019,8:05,HOM,8/4/2019,9:20,UDJ,F
B0009,9,FB734,8/4/2019,10:00,UDJ,8/4/2019,11:20,HOM,F
B0010,1,FB16,8/2/2019,8:00,HOM,8/2/2019,9:15,TGD,C
B0010,2,FB255,8/2/2019,13:35,TGD,8/2/2019,15:25,FBX,C
B0010,3,FB430,8/2/2019,19:15,FBX,8/2/2019,20:35,HOM,C
B0010,4,FB731,8/3/2019,8:05,HOM,8/3/2019,9:20,UDJ,C
B0010,5,FB734,8/3/2019,10:00,UDJ,8/3/2019,11:20,HOM,C
B0010,6,FB427,8/3/2019,17:20,HOM,8/3/2019,18:35,FBX,C
B0010,7,FB430,8/3/2019,19:15,FBX,8/3/2019,20:35,HOM,C
B0010,8,FB731,8/4/2019,8:05,HOM,8/4/2019,9:20,UDJ,C
B0010,9,FB734,8/4/2019,10:00,UDJ,8/4/2019,11:20,HOM,C
B0011,1,FB731,8/30/2019,8:05,HOM,8/30/2019,9:20,UDJ,F
B0011,2,FB734,8/30/2019,10:00,UDJ,8/30/2019,11:20,HOM,F
B0011,3,FB427,8/30/2019,17:20,HOM,8/30/2019,18:35,FBX,F
