fl_no,dpt_date,dpt_time,dpt_ap,arr_date,arr_time,arr_ap,comp
FB8567,8/1/2019,0:35,XXJ,8/1/2019,2:25,SXA,C1F1
FB8558,8/1/2019,4:50,SXA,8/1/2019,7:00,TGD,C1F1
FB8560,8/1/2019,6:35,SXA,8/1/2019,8:30,HOM,C1F1
FB240,8/1/2019,7:00,FBX,8/1/2019,8:40,TGD,C1F1
FB1200,8/1/2019,7:05,SXA,8/1/2019,8:40,FBX,C1F1
FB292,8/1/2019,7:05,OOJ,8/1/2019,8:20,TGD,C1F1
FB394,8/1/2019,7:10,UYS,8/1/2019,8:15,TGD,C1F1
FB312,8/1/2019,7:10,OSY,8/1/2019,8:15,TGD,C1F1
FB652,8/1/2019,7:10,SXJ,8/1/2019,8:25,TGD,C1F1
FB382,8/1/2019,7:20,YKJ,8/1/2019,8:40,TGD,C1F1
FB582,8/1/2019,7:25,MYJ,8/1/2019,8:55,TGD,C1F1
FB432,8/1/2019,7:30,FBX,8/1/2019,8:45,GKS,C1F1
FB50,8/1/2019,7:30,NOU,8/1/2019,9:05,TGD,C1F1
FB402,8/1/2019,7:30,AXO,8/1/2019,8:35,TGD,C1F1
FB632,8/1/2019,7:35,HWX,8/1/2019,9:10,TGD,C1F1
FB672,8/1/2019,7:35,THJ,8/1/2019,9:00,TGD,C1F1
FB522,8/1/2019,7:35,XMJ,8/1/2019,8:40,HOM,C1F1
FB532,8/1/2019,7:35,OAX,8/1/2019,8:55,TGD,C1F1
FB562,8/1/2019,7:35,XNZ,8/1/2019,8:55,TGD,C1F1
FB792,8/1/2019,7:35,SHO,8/1/2019,9:10,TGD,C1F1
FB492,8/1/2019,7:40,GKS,8/1/2019,8:55,TGD,C1F1
FB692,8/1/2019,7:40,BCJ,8/1/2019,9:20,TGD,C1F1
FB732,8/1/2019,7:50,UDJ,8/1/2019,9:10,HOM,C1F1
FB460,8/1/2019,8:00,SXA,8/1/2019,10:25,TGD,C1F1
FB1702,8/1/2019,8:00,FBX,8/1/2019,9:05,HOM,C1F1
FB242,8/1/2019,8:00,FBX,8/1/2019,9:45,TGD,C1F1
FB620,8/1/2019,8:00,XSJ,8/1/2019,9:45,TGD,C1F1
FB1271,8/1/2019,8:00,THJ,8/1/2019,10:00,NOU,C1F1
FB602,8/1/2019,8:05,XMH,8/1/2019,9:45,TGD,C1F1
FB662,8/1/2019,8:15,GKU,8/1/2019,10:05,TGD,C1F1
FB642,8/1/2019,8:25,XMJ,8/1/2019,10:05,TGD,C1F1
FB52,8/1/2019,8:30,NOU,8/1/2019,10:05,TGD,C1F1
FB301,8/1/2019,8:40,GKS,8/1/2019,10:55,SXA,C1F1
FB1203,8/1/2019,8:45,FBX,8/1/2019,10:30,SXA,C1F1
FB1892,8/1/2019,9:00,TAN,8/1/2019,9:55,TGD,C1F1
FB434,8/1/2019,9:10,FBX,8/1/2019,10:25,GKS,C1F1
FB246,8/1/2019,9:25,FBX,8/1/2019,11:10,TGD,C1F1
FB703,8/1/2019,9:45,GKS,8/1/2019,11:30,NOU,C1F1
